Timestamp,Latitude (Deg),Longitude (Deg),Heading (Deg),Inertial Altitude (ft),Pitch (Deg),Roll (Deg),East Velocity (m/s),North Velocity (m/s),Ground Speed (knots)
20:21:45.53,40.6618050321934,22.5896243390936,-96.9598388671875,647.1378,0.52734375,-0.63720703125,-59.640625,1.6953125,115.904675665573
20:21:45.68,40.6618076305834,22.5895031367737,-96.9818115234375,647.1378,0.4229736328125,-0.6317138671875,-59.59375,1.671875,115.812367331135
20:21:45.85,40.6618098936972,22.5893930823851,-97.03125,647.1378,0.37353515625,-0.5657958984375,-59.5703125,1.640625,115.765168376596
20:21:46.00,40.6618113186208,22.5892778312165,-97.0751953125,647.958,0.37353515625,-0.50537109375,-59.546875,1.6015625,115.71759089808
20:21:46.16,40.6618135817346,22.5891678606468,-97.119140625,647.958,0.4229736328125,-0.439453125,-59.5078125,1.6015625,115.641735534961
20:21:46.32,40.6618160124865,22.5890469097841,-97.1466064453125,647.958,0.4339599609375,-0.3955078125,-59.46875,1.5859375,115.565067042486
20:21:46.48,40.6618182756004,22.5889371068525,-97.152099609375,647.958,0.46142578125,-0.3680419921875,-59.4609375,1.5546875,115.548293233333
20:21:46.64,40.6618204548952,22.5888272201019,-97.1685791015625,647.958,0.4888916015625,-0.3460693359375,-59.453125,1.546875,115.532726124082
20:21:46.80,40.66182263419,22.5887175009894,-97.1795654296875,647.958,0.4559326171875,-0.3076171875,-59.40625,1.546875,115.441697579377
20:21:46.96,40.6618237238375,22.5885934488225,-97.1575927734375,648.7782,0.384521484375,-0.24169921875,-59.3515625,1.5234375,115.334320418922
20:21:47.12,40.6618259031323,22.5884837297099,-97.119140625,648.7782,0.318603515625,-0.17578125,-59.3359375,1.4765625,115.301676064221
20:21:47.28,40.6618279986081,22.5883741782355,-97.1136474609375,648.7782,0.274658203125,-0.1043701171875,-59.3125,1.4921875,115.256919862892
20:21:47.44,40.6618300940839,22.588264542942,-97.1246337890625,648.7782,0.2471923828125,-0.010986328125,-59.28125,1.4765625,115.195473035224
20:21:47.60,40.6618323571977,22.5881440949934,-97.1630859375,648.7782,0.19775390625,0.0494384765625,-59.2578125,1.5,115.151100603913
20:21:47.76,40.6618344526735,22.588034627338,-97.2125244140625,648.7782,0.15380859375,0.098876953125,-59.2578125,1.484375,115.15033651563
